country,iso_code,date,year,co2_pc,total_co2,gdp_pc,population
Afghanistan,AFG,2022-01-01,2022,0.251,10.17,1313.5777765445134,40578847.0
Angola,AGO,2022-01-01,2022,0.592,21.089,4443.555847072717,35635028.0
Albania,ALB,2022-01-01,2022,1.591,4.498,12792.059168613538,2827614.0
United Arab Emirates,ARE,2022-01-01,2022,20.221,207.103,76127.22608765696,10242085.0
Argentina,ARG,2022-01-01,2022,4.047,183.768,18827.43506335373,45407904.0
Armenia,ARM,2022-01-01,2022,2.672,7.699,13788.056003721085,2880880.0
Australia,AUS,2022-01-01,2022,14.659,384.078,51305.37427437371,26200987.0
Austria,AUT,2022-01-01,2022,6.78,61.454,43996.64490564364,9064678.0
Azerbaijan,AZE,2022-01-01,2022,3.999,41.175,17034.028419550774,10295307.0
Burundi,BDI,2022-01-01,2022,0.066,0.878,688.9127835670051,13321102.0
Belgium,BEL,2022-01-01,2022,7.638,88.915,42062.03555365169,11641814.0
Benin,BEN,2022-01-01,2022,0.443,6.092,2419.444390994532,13759507.0
Burkina Faso,BFA,2022-01-01,2022,0.291,6.542,1658.020320726279,22509038.0
Bangladesh,BGD,2022-01-01,2022,0.603,102.147,5066.236439093024,169384891.0
Bulgaria,BGR,2022-01-01,2022,6.876,46.932,20274.385345030416,6825862.0
Bahrain,BHR,2022-01-01,2022,24.668,37.827,38324.938488777014,1533460.0
Bosnia and Herzegovina,BIH,2022-01-01,2022,6.472,20.743,14687.06598254744,3204802.0
Belarus,BLR,2022-01-01,2022,6.227,57.121,19161.582959237956,9173240.0
Bolivia,BOL,2022-01-01,2022,1.945,23.488,6472.162107370312,12077156.0
Brazil,BRA,2022-01-01,2022,2.283,480.058,15156.042521989499,210306411.0
Barbados,BRB,2022-01-01,2022,4.658,1.315,12071.2584725351,282324.0
Botswana,BWA,2022-01-01,2022,3.031,7.396,16104.778059301732,2439895.0
Central African Republic,CAF,2022-01-01,2022,0.074,0.377,735.9805126991992,5098038.0
Canada,CAN,2022-01-01,2022,14.107,547.658,45369.358691406684,38821259.0
Switzerland,CHE,2022-01-01,2022,3.748,32.951,63623.00908182043,8792180.0
Chile,CHL,2022-01-01,2022,4.385,85.744,22929.33815086386,19553033.0
China,CHN,2022-01-01,2022,8.218,11711.808,18921.136473023602,1425179562.0
Cote d'Ivoire,CIV,2022-01-01,2022,0.477,14.504,3996.446119664929,30395004.0
Cameroon,CMR,2022-01-01,2022,0.354,9.792,2993.82933317941,27632770.0
Democratic Republic of Congo,COD,2022-01-01,2022,0.058,5.892,891.7742867089022,102396974.0
Congo,COG,2022-01-01,2022,1.446,8.728,3923.5466184178435,6035104.0
Colombia,COL,2022-01-01,2022,1.729,89.437,14355.362737104513,51737944.0
Comoros,COM,2022-01-01,2022,0.637,0.532,2016.417044777515,834191.0
Cape Verde,CPV,2022-01-01,2022,1.15,0.598,8179.229541125541,519750.0
Costa Rica,CRI,2022-01-01,2022,1.576,8.01,15810.63153621459,5081764.0
Cuba,CUB,2022-01-01,2022,2.103,23.259,7609.071054579359,11059822.0
Cyprus,CYP,2022-01-01,2022,5.311,7.071,25729.027654096215,1331376.0
Czechia,CZE,2022-01-01,2022,8.905,95.04,32133.41223685532,10673216.0
Germany,DEU,2022-01-01,2022,7.942,667.843,46495.281015986126,84086227.0
Djibouti,DJI,2022-01-01,2022,0.484,0.55,2986.2621227138134,1137101.0
Dominica,DMA,2022-01-01,2022,2.466,0.165,10099.152228222658,66847.0
Denmark,DNK,2022-01-01,2022,4.929,29.094,50725.73838388955,5902901.0
Dominican Republic,DOM,2022-01-01,2022,2.78,31.225,17023.14045252964,11230734.0
Algeria,DZA,2022-01-01,2022,4.239,192.779,13101.456657946803,45477391.0
Ecuador,ECU,2022-01-01,2022,2.36,42.066,9819.89826626047,17823900.0
Egypt,EGY,2022-01-01,2022,2.219,249.899,12967.94546603334,112618252.0
