country,iso_code,date,year,co2_pc,total_co2,gdp_pc,population
Afghanistan,AFG,1960-01-01,1960,0.046,0.414,1442.5218327561736,9035048.0
Afghanistan,AFG,1961-01-01,1961,0.053,0.491,1426.7603652756727,9214082.0
Afghanistan,AFG,1962-01-01,1962,0.073,0.689,1421.4218648485125,9404410.0
Afghanistan,AFG,1963-01-01,1963,0.074,0.707,1419.1588081034174,9604491.0
Afghanistan,AFG,1964-01-01,1964,0.085,0.839,1413.292845543913,9814317.0
Afghanistan,AFG,1965-01-01,1965,0.1,1.007,1413.6524271664725,10036003.0
Afghanistan,AFG,1966-01-01,1966,0.106,1.091,1395.3545727873177,10266397.0
Afghanistan,AFG,1967-01-01,1967,0.122,1.282,1402.4443837170154,10505961.0
Afghanistan,AFG,1968-01-01,1968,0.114,1.223,1418.0866203014914,10756924.0
Afghanistan,AFG,1969-01-01,1969,0.085,0.941,1406.2455836971587,11017417.0
Afghanistan,AFG,1970-01-01,1970,0.148,1.67,1400.5353700850671,11290134.0
Afghanistan,AFG,1971-01-01,1971,0.164,1.894,1363.3264324922077,11567672.0
Afghanistan,AFG,1972-01-01,1972,0.129,1.53,1111.0923359107005,11853698.0
Afghanistan,AFG,1973-01-01,1973,0.135,1.635,1116.0249218621484,12158000.0
Afghanistan,AFG,1974-01-01,1974,0.153,1.913,1147.5629368439347,12469127.0
Afghanistan,AFG,1975-01-01,1975,0.166,2.121,1188.1797712628952,12773966.0
Afghanistan,AFG,1976-01-01,1976,0.152,1.981,1226.9353402765926,13059861.0
Afghanistan,AFG,1977-01-01,1977,0.179,2.384,1139.9172370865283,13340758.0
Afghanistan,AFG,1978-01-01,1978,0.158,2.153,1200.3010114136312,13611444.0
Afghanistan,AFG,1979-01-01,1979,0.164,2.233,1165.3693088720174,13655575.0
Afghanistan,AFG,1980-01-01,1980,0.133,1.756,1164.05738097348,13169313.0
Afghanistan,AFG,1981-01-01,1981,0.166,1.978,1310.595291208792,11937586.0
Afghanistan,AFG,1982-01-01,1982,0.191,2.095,1453.9038774021096,10991380.0
Afghanistan,AFG,1983-01-01,1983,0.231,2.52,1534.654334110186,10917985.0
Afghanistan,AFG,1984-01-01,1984,0.252,2.822,1525.6313056166357,11190222.0
