country,iso_code,date,year,co2_pc,total_co2,gdp_pc,population
Qatar,QAT,2022-01-01,2022,37.89,109.594,131990.52538906247,2892466.0
Kuwait,KWT,2022-01-01,2022,25.242,115.849,47709.022609583495,4589514.0
Trinidad and Tobago,TTO,2022-01-01,2022,25.063,37.493,25077.082157972036,1495923.0
Bahrain,BHR,2022-01-01,2022,24.668,37.827,38324.938488777014,1533460.0
Saudi Arabia,SAU,2022-01-01,2022,20.73,666.994,56685.821153466204,32175351.0
United Arab Emirates,ARE,2022-01-01,2022,20.221,207.103,76127.22608765696,10242085.0
Oman,OMN,2022-01-01,2022,16.488,77.994,37493.95815149753,4730229.0
United States,USA,2022-01-01,2022,14.802,5055.403,57075.33610930162,341534041.0
Australia,AUS,2022-01-01,2022,14.659,384.078,51305.37427437371,26200987.0
Turkmenistan,TKM,2022-01-01,2022,14.116,102.063,13485.517023533384,7230197.0
