country,iso_code,date,year,co2_pc,total_co2,gdp_pc,population
World,,2022-01-01,2022,4.678,37527.773,16220.665400954544,8021407196.0
China,CHN,2022-01-01,2022,8.218,11711.808,18921.136473023602,1425179562.0
United States,USA,2022-01-01,2022,14.802,5055.403,57075.33610930162,341534041.0
India,IND,2022-01-01,2022,1.986,2831.132,7349.570695488093,1425423209.0
Russia,RUS,2022-01-01,2022,11.509,1675.461,25631.56803601492,145579889.0
Japan,JPN,2022-01-01,2022,8.237,1029.645,38196.69673349289,124997585.0
Iran,IRN,2022-01-01,2022,8.57,767.178,17561.823838428933,89524247.0
Indonesia,IDN,2022-01-01,2022,2.719,758.021,12552.763417037906,278830527.0
Germany,DEU,2022-01-01,2022,7.942,667.843,46495.281015986126,84086227.0
Saudi Arabia,SAU,2022-01-01,2022,20.73,666.994,56685.821153466204,32175351.0
